feature,perm_imp_cls_mean,perm_imp_cls_std,perm_imp_reg_mean,perm_imp_reg_std
000,0.0010401891252954838,0.0003538210294821867,,
200,0.001229314420803762,0.0001337317789478263,,
90,,,0.001060750648683939,0.0007481555790385275
alaska,,,0.00012584903023012592,0.00022480832144833104
american,0.0021749408983451346,0.0003538210294821669,,
amounts money,,,0.0002995576570404464,0.00027026078119067316
average,,,0.0002541662473323214,1.5985340571982935e-05
bigger,,,0.0002426199249293918,0.00018928521649600133
border,0.0016075650118203184,0.0005829233099734259,,
chairman,,,0.00022232274660701398,0.0001338738356048854
coal,,,0.000401640681204037,0.0001619170805700131
congressional,0.0011347517730496322,0.00040119533684345273,,
crime,0.0011347517730496322,0.00023163023572418247,,
dakota,,,0.00021012801646413948,0.00019654276864740066
defend siege,0.007943262411347499,0.001670309383702676,,
dershowitz,,,0.00031763333223255863,0.0002757022085683941
division,,,0.00013120901878571622,0.00015273198112475492
doing,0.00170212765957443,0.000835154691851338,,
executive order,,,0.0006681546229632129,6.895557990466486e-05
expected,,,0.0003071664221882357,0.0006365364363179422
fact,0.001323877068557892,0.0004821767861553344,,
football,,,0.0002399892630116085,7.185647035142862e-05
getting,0.0014184397163120588,0.0,,
great,,,0.00011668411829490744,6.459794151482363e-05
high,0.001891252955082708,0.0005829233099734259,,
immediate,,,0.0001248525278298255,9.317492968024538e-05
incredible,0.0023640661938534127,0.00013373177894780014,,
jon,,,0.00047224367100717757,0.00042105751726787433
log_favorites,0.005957446808510625,0.004880751924563205,,
log_replies,0.005579196217494069,0.0039467870930892275,0.0004900613827535741,0.00011033057613541045
log_reposts,0.004822695035460974,0.002058774568045142,0.0006645497976026279,0.00038116503651433907
long,0.0011347517730496322,0.0006128359998494473,,
maria,,,0.00031219039009030186,0.0001677776139831917
medal,0.0010401891252954838,0.00013373177894780014,,
mike,0.0011347517730496322,0.00023163023572418247,,
named,0.0017021276595744483,0.0002316302357241598,,
pass,,,0.0006423738863829964,0.0016821735451432445
peace strength,0.0023640661938534127,0.0009643535723106943,,
people texas,,,0.002143826414471824,0.0019312907470408294
powerful,0.0010401891252954838,0.0010698542315824796,,
protect,0.001229314420803762,0.0001337317789478263,,
rates,,,0.0005874642603540536,6.607694423821848e-05
rule,0.0011347517730496322,0.00023163023572418247,,
secure,0.009550827423167818,0.0014710495684259323,,
sided,,,0.0002166831071486186,0.0002489286127425315
siege,0.002080378250591005,0.0015422701116123137,,
siege second,0.008888888888888872,0.0025514397282708203,,
solution,,,0.0004354023973188366,0.00012778551429860438
stands,,,0.0002247709247417499,0.0015707269601469933
supreme,0.0018912529550827266,0.0007076420589643537,,
supreme court,0.0018912529550827266,0.0007076420589643537,,
thank attention,,,0.00015031516190422423,0.0001230769623524923
trump hating,0.0011347517730496137,0.0,,
unable,,,0.0006211507749550224,0.0002994270275457688
unfair,0.001323877068557892,0.0002674635578956264,,
want make,,,0.00023474650771992955,0.0002276898887792552
warren,,,0.00022366070734343899,6.862942818057521e-05
wrong,,,0.000276607299486864,9.833239691865066e-05
